engine,policy,terrain,case,seed,outcome,failure_flags,completed,physical_traversal,unsafe_reasons,unsafe_time_s,hard_joint_margin_min_rad,wheel_speed_max_rad_s,wheel_saturation_max_fraction
Isaac,19999,flat,precision_vx_+0.10,7201,success,,True,,,,0.8335959315299988,9.050861358642578,0.0
Isaac,19999,flat,precision_vx_+0.10,7202,success,,True,,,,0.8089424967765808,8.781846046447754,0.0
Isaac,19999,flat,precision_vx_+0.10,7203,success,,True,,,,0.844304621219635,7.968195915222168,0.0
Isaac,19999,flat,precision_vx_+0.10,7204,success,,True,,,,0.8315147757530212,6.610701084136963,0.0
Isaac,19999,flat,precision_vx_+0.10,7205,success,,True,,,,0.8269884586334229,7.994578838348389,0.0
Isaac,19999,flat,precision_vx_+0.10,7206,success,,True,,,,0.8306627869606018,7.31012487411499,0.0
Isaac,19999,flat,precision_vx_+0.10,7207,success,,True,,,,0.8309898376464844,9.545064926147461,0.0
Isaac,19999,flat,precision_vx_+0.10,7208,success,,True,,,,0.8330415487289429,7.8101091384887695,0.0
Isaac,19999,flat,precision_vx_+0.10,7209,success,,True,,,,0.8277573585510254,7.47159481048584,0.0
Isaac,19999,flat,precision_vx_+0.10,7210,success,,True,,,,0.8240885138511658,5.915928363800049,0.0
Isaac,19999,flat,precision_vx_+0.10,7211,success,,True,,,,0.826285719871521,9.865346908569336,0.0
Isaac,19999,flat,precision_vx_+0.10,7212,success,,True,,,,0.8402871489524841,6.630342960357666,0.0
Isaac,19999,flat,precision_vx_+0.10,7213,success,,True,,,,0.8373158574104309,8.176071166992188,0.0
Isaac,19999,flat,precision_vx_+0.10,7214,success,,True,,,,0.8267470598220825,8.533358573913574,0.0
Isaac,19999,flat,precision_vx_+0.10,7215,success,,True,,,,0.8280144929885864,7.218381404876709,0.0
Isaac,19999,flat,precision_vx_+0.10,7216,success,,True,,,,0.8231186866760254,7.99412727355957,0.0
Isaac,19999,flat,precision_vy_-0.10,7201,tracking_failure,tracking_failure,True,,,,0.8263207077980042,9.050861358642578,0.0
Isaac,19999,flat,precision_vy_-0.10,7202,tracking_failure,tracking_failure,True,,,,0.8242937326431274,8.781846046447754,0.0
Isaac,19999,flat,precision_vy_-0.10,7203,tracking_failure,tracking_failure,True,,,,0.8297579884529114,7.968195915222168,0.0
Isaac,19999,flat,precision_vy_-0.10,7204,tracking_failure,tracking_failure,True,,,,0.8256523609161377,6.610701084136963,0.0
